0,0,-0.069,-0.129,0.483
0,1,-0.001,-0.127,0.476
0,2,0.066,-0.128,0.473
0,3,0.132,-0.127,0.467
0,4,0.200,-0.127,0.465
1,0,-0.069,-0.061,0.483
1,1,-0.002,-0.061,0.476
1,2,0.065,-0.060,0.472
1,3,0.132,-0.060,0.469
1,4,0.201,-0.060,0.465
2,0,-0.069,0.006,0.482
2,1,-0.001,0.006,0.475
2,2,0.066,0.007,0.472
2,3,0.133,0.007,0.471
2,4,0.200,0.007,0.466
3,0,-0.069,0.073,0.483
3,1,-0.002,0.073,0.477
3,2,0.065,0.073,0.472
3,3,0.132,0.074,0.469
3,4,0.201,0.074,0.467
4,0,-0.069,0.141,0.483
4,1,-0.003,0.141,0.479
4,2,0.066,0.142,0.472
4,3,0.132,0.142,0.470
4,4,0.200,0.143,0.467
